velFL, velFR, velBL, velBR
0, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0, 0.0011704, 
0.00229578, 0, 0.00229578, 0.00114789, 
0, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00234079, 0.0011704, 0.00234079, 0, 
0.00234079, 0.0011704, 0, 0.00234079, 
0, 0.00229578, 0, 0.00229578, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.0011704, 0, 0, 
0.00234079, 0.0011704, 0, 0.00234079, 
0, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00229578, 0, 0.00229578, 
0.00234079, 0.00234079, 0.00234079, 0.0011704, 
0.00234079, 0.0011704, 0, 0.0011704, 
0.00234079, 0.0011704, 0, 0.00234079, 
0, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00229578, 0, 0.00229578, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0, 
0.00234079, 0, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0, 0.00229578, 0, 0.00229578, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0, 
0.00234079, 0, 0, 0.00234079, 
0.00229578, 0.00229578, 0, 0.00229578, 
0, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0, 
0.00234079, 0, 0, 0.00234079, 
0, 0.00229578, 0, 0.00229578, 
0.00234079, 0.0011704, 0.00234079, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0.00234079, 0, 0, 
0, 0, 0, 0.00234079, 
0.00229578, 0.00114789, 0.00229578, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0, 0, 0, 
0, 0.00234079, 0, 0.0011704, 
0, 0, 0, 0.0011704, 
0.00229578, 0, 0.00114789, 0, 
0, 0.00234079, 0.0011704, 0, 
0, 0, 0, 0.00234079, 
0.0011704, 0, 0, 0, 
0.0011704, 0.0011704, 0, 0, 
0, 0.00114789, 0, 0.00229578, 
0.0011704, 0, 0, 0, 
0.0011704, 0.00234079, 0.00234079, 0, 
0, 0, 0, 0.00234079, 
0.00234079, 0, 0, 0, 
0, 0.00229578, 0, 0.00229578, 
0.00234079, 0, 0.0011704, 0, 
0, 0.00234079, 0.0011704, 0.00234079, 
0.00234079, 0, 0, 0, 
0, 0.00234079, 0, 0.00234079, 
0.00229578, 0.00114789, 0.00229578, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0.00234079, 0, 0, 
0.0011704, 0, 0, 0.00234079, 
0.0011704, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00114789, 0, 0, 
0, 0.0011704, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.0011704, 0, 0, 
0.0011704, 0.0011704, 0, 0.00234079, 
0.00114789, 0.00229578, 0.00229578, 0.00229578, 
0.00234079, 0.00234079, 0, 0.0011704, 
0.00234079, 0, 0.00234079, 0.0011704, 
0.0011704, 0.00234079, 0, 0.00234079, 
0.0011704, 0.00234079, 0, 0.00234079, 
0.00229578, 0.00229578, 0.00229578, 0.00114789, 
0.00234079, 0.0011704, 0, 0.0011704, 
0.00234079, 0.0011704, 0, 0.00234079, 
0, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00229578, 0.00229578, 0.00229578, 0.00114789, 
0.00234079, 0.0011704, 0, 0.0011704, 
0.00234079, 0.0011704, 0, 0.00234079, 
0, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00229578, 0.00229578, 0.00229578, 0.00229578, 
0.00234079, 0.00234079, 0, 0, 
0.00234079, 0, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0, 0.00234079, 0, 0.00234079, 
0.00229578, 0.00229578, 0.00229578, 0.00229578, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0.0011704, 
0.00234079, 0.0011704, 0, 0.0011704, 
0.00234079, 0.0011704, 0.0011704, 0.00234079, 
0.00114789, 0.00229578, 0.00114789, 0.00229578, 
0.0011704, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0, 
0.00229578, 0.00114789, 0, 0.00229578, 
0.00234079, 0.0011704, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.00234079, 
0.00234079, 0.00234079, 0.0011704, 0.00234079, 
0.00234079, 0.00234079, 0.0011704, 0.00234079, 
0.00229578, 0.00344367, 0.00229578, 0.00229578, 
0.00234079, 0.00351119, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0.00351119, 
0.00234079, 0.00234079, 0, 0.00351119, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00229578, 0, 0.00229578, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0, 0.00351119, 
0.00234079, 0.00234079, 0.00234079, 0.00351119, 
0.00344367, 0.00229578, 0, 0.00229578, 
0.00351119, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00468159, 0.00234079, 0.00351119, 
0.00234079, 0.00234079, 0, 0.00351119, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00459156, 0.00229578, 0.00344367, 
0.00234079, 0.00234079, 0, 0.00351119, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.0011704, 0.00234079, 
0.00229578, 0.00459156, 0.00114789, 0.00459156, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.0011704, 0.00234079, 
0.00234079, 0.00468159, 0.0011704, 0.00468159, 
0.00459156, 0.00229578, 0.00229578, 0.00229578, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00344367, 0.00229578, 0.00229578, 0.00459156, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.0011704, 0.00234079, 
0.00234079, 0.00468159, 0.0011704, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00229578, 0.00344367, 0.00229578, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00468159, 0.00234079, 0, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00459156, 0.00229578, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00468159, 0.00234079, 0, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00229578, 0.00344367, 0.00229578, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00468159, 0.00234079, 0, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00229578, 0.00344367, 0.00229578, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.0011704, 0.00234079, 
0.00234079, 0.00468159, 0.0011704, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00344367, 0.00229578, 0.00229578, 0.00459156, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00468159, 0, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00459156, 0.00229578, 0.00229578, 0.00344367, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00351119, 0.00351119, 0, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00459156, 0.00229578, 0.00229578, 0.00229578, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00351119, 0.00234079, 0, 0.00351119, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00459156, 0.00344367, 0.00229578, 0.00229578, 
0.00234079, 0.00351119, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.0011704, 0.00234079, 
0.00234079, 0.00468159, 0.0011704, 0.00468159, 
0.00459156, 0.00459156, 0.00229578, 0.00229578, 
0.00351119, 0.00234079, 0.00234079, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0, 0.00468159, 
0.00459156, 0.00459156, 0.00229578, 0.00344367, 
0.00468159, 0.00234079, 0.00234079, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00351119, 0.00234079, 0, 0.00468159, 
0.00344367, 0.00459156, 0.00229578, 0.00459156, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00468159, 0.00234079, 0.0011704, 0.00351119, 
0.00229578, 0.00459156, 0.00114789, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00351119, 0.00234079, 0.00234079, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00468159, 0.00234079, 0.00234079, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00344367, 0.00229578, 0, 0.00459156, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00468159, 
0.00459156, 0.00229578, 0.00114789, 0.00229578, 
0.00234079, 0.00468159, 0.0011704, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00468159, 0.00234079, 0.00234079, 0.00468159, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00459156, 0.00344367, 0.00229578, 0.00229578, 
0.00351119, 0.00351119, 0, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00459156, 0.00459156, 0.00229578, 0.00344367, 
0.00468159, 0.00234079, 0.0011704, 0.00351119, 
0.00234079, 0.00468159, 0.0011704, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00351119, 0.00234079, 0.00234079, 0.00468159, 
0.00344367, 0.00459156, 0.00229578, 0.00459156, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00459156, 0.00229578, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00468159, 0.00234079, 0, 0.00468159, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00344367, 0.00344367, 0.00229578, 0.00459156, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00468159, 0, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00459156, 0.00229578, 0.00229578, 0.00344367, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00351119, 0.00234079, 0, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00459156, 0.00344367, 0.00229578, 0.00229578, 
0.00351119, 0.00351119, 0.00234079, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00468159, 0, 0.00468159, 
0.00459156, 0.00459156, 0.00229578, 0.00344367, 
0.00468159, 0.00234079, 0.00234079, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00468159, 0.00234079, 0, 0.00468159, 
0.00229578, 0.00459156, 0.00229578, 0.00459156, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00351119, 0.00351119, 0.00234079, 0.00468159, 
0.00351119, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0.00459156, 0, 0.00459156, 
0.00468159, 0.00468159, 0.00234079, 0.00351119, 
0.00468159, 0.00234079, 0.00234079, 0.00351119, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00459156, 0.00229578, 0, 0.00459156, 
0.00234079, 0.00468159, 0.00234079, 0.00468159, 
0.00468159, 0.00468159, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0.00468159, 
0.00468159, 0.00351119, 0.00234079, 0.00234079, 
0.00229578, 0.00344367, 0, 0.00459156, 
0.00351119, 0.00234079, 0.00234079, 0.00234079, 
0.00351119, 0.00351119, 0.00234079, 0.00234079, 
0.00234079, 0.00351119, 0, 0.00234079, 
0.00234079, 0.00234079, 0.00234079, 0.00468159, 
0.00229578, 0.00229578, 0, 0.00229578, 
0.00234079, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0.0011704, 
0.00234079, 0.00234079, 0.00234079, 0.0011704, 
0.00234079, 0, 0, 0.00234079, 
0.00114789, 0.00229578, 0, 0.00229578, 
0.0011704, 0.00234079, 0.00234079, 0.00234079, 
0.00234079, 0.00234079, 0, 0, 
0.0011704, 0, 0, 0.00234079, 
0.0011704, 0.00234079, 0.00234079, 0.00234079, 
0.00229578, 0, 0, 0, 
0, 0.00234079, 0, 0.00234079, 
0.0011704, 0, 0, 0, 
0.0011704, 0.00234079, 0.00234079, 0, 
0, 0, 0, 0.00234079, 
0.00114789, 0, 0, 0, 
0.0011704, 0.0011704, 0, 0, 
0, 0.0011704, 0, 0.0011704, 
0, 0, 0, 0.0011704, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0.0011704, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0.00114789, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
0, 0, 0, 0, 
